index,lat,lon,depth
1.0810000e+03, 4.5201520e+01,-1.2397058e+02, 3.8939926e+00
1.0820000e+03, 4.5201515e+01,-1.2397061e+02, 3.3657181e+00
1.0830000e+03, 4.5201509e+01,-1.2397063e+02, 3.0022288e+00
1.0840000e+03, 4.5201503e+01,-1.2397066e+02, 2.4689290e+00
1.0850000e+03, 4.5201498e+01,-1.2397068e+02, 2.1149385e+00
1.0860000e+03, 4.5201492e+01,-1.2397071e+02, 1.5990620e+00
1.0870000e+03, 4.5201487e+01,-1.2397073e+02, 1.2634692e+00
1.0880000e+03, 4.5201481e+01,-1.2397076e+02, 7.8307384e-01
1.0890000e+03, 4.5201475e+01,-1.2397078e+02, 4.7639074e-01
1.0900000e+03, 4.5201470e+01,-1.2397081e+02, 4.9811568e-02
1.0910000e+03, 4.5201464e+01,-1.2397083e+02,-2.1517345e-01
1.0920000e+03, 4.5201459e+01,-1.2397086e+02,-5.7334371e-01
1.0930000e+03, 4.5201453e+01,-1.2397088e+02,-7.8625028e-01
1.0940000e+03, 4.5201447e+01,-1.2397091e+02,-1.0604007e+00
1.0950000e+03, 4.5201442e+01,-1.2397093e+02,-1.2113878e+00
1.0960000e+03, 4.5201436e+01,-1.2397096e+02,-1.3971961e+00
1.0970000e+03, 4.5201430e+01,-1.2397098e+02,-1.4981394e+00
1.0980000e+03, 4.5201425e+01,-1.2397100e+02,-1.5825604e+00
1.0990000e+03, 4.5201419e+01,-1.2397103e+02,-1.6809433e+00
1.1000000e+03, 4.5201414e+01,-1.2397105e+02,-1.7287617e+00
1.1010000e+03, 4.5201408e+01,-1.2397108e+02,-1.7776529e+00
1.1020000e+03, 4.5201402e+01,-1.2397110e+02,-1.7955558e+00
1.1030000e+03, 4.5201397e+01,-1.2397113e+02,-1.8056862e+00
1.1040000e+03, 4.5201391e+01,-1.2397115e+02,-1.8009178e+00
1.1050000e+03, 4.5201386e+01,-1.2397118e+02,-1.7819848e+00
1.1060000e+03, 4.5201380e+01,-1.2397120e+02,-1.7612374e+00
1.1070000e+03, 4.5201374e+01,-1.2397123e+02,-1.7227666e+00
1.1080000e+03, 4.5201369e+01,-1.2397125e+02,-1.6928010e+00
